scope,cell,mode,vintage_standard,n,n_rows_in_scope,pct_within_scope
mode,ALL,layout_assign,DOERefPre1980,7625,8160,93.4436
mode,ALL,layout_assign,DOERef1980to2004,213,8160,2.6103
mode,ALL,layout_assign,90.1-2013,178,8160,2.1814
mode,ALL,layout_assign,90.1-2007,122,8160,1.4951
mode,ALL,layout_assign,90.1-2019,22,8160,0.2696
fleet,ALL,ALL,DOERefPre1980,38125,40800,93.4436
fleet,ALL,ALL,DOERef1980to2004,1065,40800,2.6103
fleet,ALL,ALL,90.1-2013,890,40800,2.1814
fleet,ALL,ALL,90.1-2007,610,40800,1.4951
fleet,ALL,ALL,90.1-2019,110,40800,0.2696
