=== COUNT VERIFICATION ===
corpus,extension,n_source,n_dest,count_match,n_missing_in_dest,n_extra_in_dest
open48_refleet,.err,8160,8160,True,0,0
open48_refleet,.eio,0,0,True,0,0
open48_refleet,.end,8160,8160,True,0,0
open48_refleet,.gpkg,24,24,True,0,0
open48_refleet,.csv,14,14,True,0,0
open48_refleet,.geojson,12,12,True,0,0
open48_refleet,.parquet,36,36,True,0,0
open48_refleet,.json,24,24,True,0,0
open48_refleet,.idf,16332,16332,True,0,0
open48_refleet3,.err,5215,5215,True,0,0
open48_refleet3,.eio,5215,5215,True,0,0
open48_refleet3,.end,5215,5215,True,0,0
open48_refleet3,.gpkg,17,17,True,0,0
open48_refleet3,.csv,9,9,True,0,0
open48_refleet3,.geojson,5,5,True,0,0
open48_refleet3,.parquet,30,30,True,0,0
open48_refleet3,.json,10,10,True,0,0
open48_refleet3,.idf,14213,14213,True,0,0
open48_refleet3_t02a3,.err,0,0,True,0,0
open48_refleet3_t02a3,.eio,0,0,True,0,0
open48_refleet3_t02a3,.end,0,0,True,0,0
open48_refleet3_t02a3,.gpkg,1,1,True,0,0
open48_refleet3_t02a3,.csv,0,0,True,0,0
open48_refleet3_t02a3,.geojson,0,0,True,0,0
open48_refleet3_t02a3,.parquet,2,2,True,0,0
open48_refleet3_t02a3,.json,0,0,True,0,0
open48_refleet3_t02a3,.idf,1589,1589,True,0,0
open48_refleet3_t02a4,.err,1589,1589,True,0,0
open48_refleet3_t02a4,.eio,1589,1589,True,0,0
open48_refleet3_t02a4,.end,1589,1589,True,0,0
open48_refleet3_t02a4,.gpkg,2,2,True,0,0
open48_refleet3_t02a4,.csv,1,1,True,0,0
open48_refleet3_t02a4,.geojson,1,1,True,0,0
open48_refleet3_t02a4,.parquet,3,3,True,0,0
open48_refleet3_t02a4,.json,2,2,True,0,0
open48_refleet3_t02a4,.idf,3178,3178,True,0,0
open48_refleet4,.err,8160,8160,True,0,0
open48_refleet4,.eio,8160,8160,True,0,0
open48_refleet4,.end,8160,8160,True,0,0
open48_refleet4,.gpkg,24,24,True,0,0
open48_refleet4,.csv,15,15,True,0,0
open48_refleet4,.geojson,12,12,True,0,0
open48_refleet4,.parquet,36,36,True,0,0
open48_refleet4,.json,24,24,True,0,0
open48_refleet4,.idf,16336,16336,True,0,0
open48_repeat,.err,738,738,True,0,0
open48_repeat,.eio,0,0,True,0,0
open48_repeat,.end,738,738,True,0,0
open48_repeat,.gpkg,2,2,True,0,0
open48_repeat,.csv,1,1,True,0,0
open48_repeat,.geojson,1,1,True,0,0
open48_repeat,.parquet,3,3,True,0,0
open48_repeat,.json,2,2,True,0,0
open48_repeat,.idf,1479,1479,True,0,0

=== HASH VERIFICATION (200 random + all .gpkg/.parquet) ===
corpus,extension,relpath,src_sha256,dst_sha256,status
open48_refleet,.err,nyc_suburban\sim_out\way_846412113\eplusout.err,ea844c4748e0a9545fb97ed6e30596dd050c3302bf0f2f0dec342945a0c2aea5,ea844c4748e0a9545fb97ed6e30596dd050c3302bf0f2f0dec342945a0c2aea5,OK
open48_refleet,.err,nyc_urban\sim_out\way_241836701\eplusout.err,0be82ae04d29c2bf0f3f914f95b10f8ad6bab42fe80b88289373421ac8a77b3c,0be82ae04d29c2bf0f3f914f95b10f8ad6bab42fe80b88289373421ac8a77b3c,OK
open48_refleet,.err,nyc_urban\sim_out\way_241862386\eplusout.err,170161106e3ca936125ceb7d015045d7c971a8767a44cbbbeac1b3c24066e792,170161106e3ca936125ceb7d015045d7c971a8767a44cbbbeac1b3c24066e792,OK
open48_refleet,.gpkg,austin_centre\01_buildings.gpkg,39b85e84e32bc16ace0806b6e1a3017ec788832180d96984eec8d0281166bea7,39b85e84e32bc16ace0806b6e1a3017ec788832180d96984eec8d0281166bea7,OK
open48_refleet,.gpkg,austin_centre\results\05_results.gpkg,c1bf921db408b5f88c445c74b5852c6126c332e15ca393c58846890c533cd407,c1bf921db408b5f88c445c74b5852c6126c332e15ca393c58846890c533cd407,OK
open48_refleet,.gpkg,austin_rural\01_buildings.gpkg,2055c0fa8e28225e292cdf7f92d72ba339076b1315f885aa17730f4ea0435e29,2055c0fa8e28225e292cdf7f92d72ba339076b1315f885aa17730f4ea0435e29,OK
open48_refleet,.gpkg,austin_rural\results\05_results.gpkg,d35ba79cb28622ca2eb3e75cb6d11ed277f660bdec3d6fadb05b444c3b3fabff,d35ba79cb28622ca2eb3e75cb6d11ed277f660bdec3d6fadb05b444c3b3fabff,OK
open48_refleet,.gpkg,austin_suburban\01_buildings.gpkg,4db17d795502c928421d8bbe18cf4a76fe9885fad5c35421766aa5d4ba2d1732,4db17d795502c928421d8bbe18cf4a76fe9885fad5c35421766aa5d4ba2d1732,OK
open48_refleet,.gpkg,austin_suburban\results\05_results.gpkg,8c152a0a3856d8faa5a54a5b9f4153daa94da43e314cfbdbe8b8db0356901318,8c152a0a3856d8faa5a54a5b9f4153daa94da43e314cfbdbe8b8db0356901318,OK
open48_refleet,.gpkg,austin_urban\01_buildings.gpkg,ce9668bb506dd91c204ac92ccff9a7bf059acbf557c0ba325da2e63f1adf26bd,ce9668bb506dd91c204ac92ccff9a7bf059acbf557c0ba325da2e63f1adf26bd,OK
open48_refleet,.gpkg,austin_urban\results\05_results.gpkg,de596525038d01b3248bd45b11c163bbc5adb5621a75f0f3c2d173288f182a01,de596525038d01b3248bd45b11c163bbc5adb5621a75f0f3c2d173288f182a01,OK
