osm_id,vintage_prior,archetype_prior,levels,height_m,year_built,provenance_levels,provenance_height_m,provenance_year_built,in_prior,vintage_current,archetype_current,in_current,vintage_agree,archetype_agree,data_poor
way/137716320,DOERef1980to2004,MediumOffice,,,1990.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERef1980to2004,LargeOffice,both,True,False,True
way/138022483,DOERefPre1980,LargeOffice,,15.0,1930.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,True,True
way/143858914,DOERefPre1980,MediumOffice,,,1931.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,False,True
way/148457887,DOERef1980to2004,TallBuilding,36.0,42.0,2003.0,OSM_OBSERVED,OSM_OBSERVED,OSM_OBSERVED,both,DOERef1980to2004,TallBuilding,both,True,True,False
way/157835453,DOERefPre1980,LargeOffice,,,1972.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,True,True
way/159837290,DOERefPre1980,TallBuilding,39.0,,1969.0,OSM_OBSERVED,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,TallBuilding,both,True,True,True
way/160915057,90.1-2007,MediumOffice,,,2006.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,90.1-2007,MediumOffice,both,True,True,True
way/161173093,DOERefPre1980,LargeOffice,,20.0,1917.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERefPre1980,MediumOffice,both,True,False,True
way/161849936,DOERef1980to2004,SuperTallBuilding,,192.2,1982.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERef1980to2004,SuperTallBuilding,both,True,True,True
way/162004802,DOERefPre1980,MediumOffice,,,,OSM_MISSING,OSM_MISSING,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,False,True
way/162695595,DOERef1980to2004,TallBuilding,,98.0,1993.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERef1980to2004,TallBuilding,both,True,True,True
way/162977896,DOERefPre1980,MediumOffice,8.0,45.0,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,True,True
way/163465869,DOERefPre1980,SuperTallBuilding,45.0,,1973.0,OSM_OBSERVED,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,SuperTallBuilding,both,True,True,True
way/163474780,DOERef1980to2004,LargeOffice,,,1985.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERef1980to2004,LargeOffice,both,True,True,True
way/163629929,DOERefPre1980,LargeOffice,,25.0,1972.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,True,True
way/163631696,DOERef1980to2004,MediumOffice,,,1984.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERef1980to2004,LargeOffice,both,True,False,True
way/165439147,DOERefPre1980,TallBuilding,32.0,131.0,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/165439153,90.1-2007,MidriseApartment,,25.0,2007.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,90.1-2007,MidriseApartment,both,True,True,True
way/218327129,DOERefPre1980,LargeOffice,,40.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/218333949,90.1-2013,SuperTallBuilding,,140.0,2013.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,90.1-2013,SuperTallBuilding,both,True,True,True
way/258619240,DOERefPre1980,SmallOffice,1.0,5.0,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/258646143,DOERefPre1980,Courthouse,,4.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,Courthouse,both,True,True,True
way/258646144,DOERefPre1980,SmallOffice,1.0,5.5,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/260085134,DOERefPre1980,MediumOffice,,,1962.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,False,True
way/260085136,DOERefPre1980,MediumOffice,,,1969.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,False,True
way/260085159,90.1-2007,MediumOffice,,,2006.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,90.1-2007,LargeOffice,both,True,False,True
way/260180778,90.1-2013,MediumOffice,,,2013.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,90.1-2013,LargeHotel,both,True,False,True
way/265276997,DOERefPre1980,SmallOffice,,12.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265277022,DOERefPre1980,SmallOffice,,12.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265281597,DOERefPre1980,LargeOffice,,45.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265281598,DOERefPre1980,TallBuilding,,100.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265296083,DOERefPre1980,MediumOffice,,16.2,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265296085,DOERefPre1980,MediumOffice,,16.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265296086,DOERefPre1980,SmallOffice,,6.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265296088,DOERefPre1980,LargeOffice,,50.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265296090,DOERefPre1980,MediumOffice,,49.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,True,True
way/265296092,DOERefPre1980,LargeOffice,,55.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265296095,DOERefPre1980,MediumOffice,,15.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265296097,DOERefPre1980,LargeOffice,,14.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265296099,DOERefPre1980,MediumOffice,,17.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265296100,DOERefPre1980,SmallOffice,,7.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265296101,DOERefPre1980,LargeOffice,,66.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265296102,DOERefPre1980,LargeOffice,,57.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265296110,DOERefPre1980,LargeOffice,,55.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265296256,DOERefPre1980,TallBuilding,,119.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265296257,DOERefPre1980,TallBuilding,,77.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265296283,DOERefPre1980,MediumOffice,,38.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265296284,DOERefPre1980,LargeOffice,,40.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265296287,DOERefPre1980,MediumOffice,,,1930.0,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,both,DOERefPre1980,MediumOffice,both,True,True,True
way/265301696,DOERefPre1980,LargeOffice,,30.6,1922.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265301698,DOERefPre1980,LargeOffice,,49.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301700,DOERefPre1980,LargeOffice,,51.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERef1980to2004,LargeOffice,both,False,True,True
way/265301703,DOERefPre1980,SmallOffice,,12.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301704,DOERefPre1980,SmallOffice,,9.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301705,DOERef1980to2004,MidriseApartment,,16.0,2002.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERef1980to2004,MidriseApartment,both,True,True,True
way/265301706,DOERefPre1980,MediumOffice,4.0,15.7,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301708,DOERefPre1980,MediumOffice,4.0,15.4,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301710,DOERefPre1980,MediumOffice,4.0,14.8,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301712,DOERefPre1980,MediumOffice,5.0,20.4,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301713,DOERefPre1980,SmallOffice,3.0,10.1,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301714,DOERefPre1980,MediumOffice,5.0,20.5,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301715,DOERefPre1980,SmallOffice,4.0,14.2,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301717,DOERefPre1980,MediumOffice,5.0,20.3,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301719,DOERefPre1980,MediumOffice,5.0,18.8,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301720,90.1-2019,HighriseApartment,,85.0,2018.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,90.1-2019,HighriseApartment,both,True,True,True
way/265301723,DOERefPre1980,LargeOffice,,62.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265301724,DOERefPre1980,MediumOffice,,22.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301726,DOERefPre1980,MediumOffice,,43.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERef1980to2004,MediumOffice,both,False,True,True
way/265301728,DOERefPre1980,MediumOffice,,23.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301729,DOERefPre1980,MediumOffice,,19.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301730,DOERefPre1980,TallBuilding,,81.0,1913.0,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301731,DOERefPre1980,TallBuilding,,88.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301733,DOERefPre1980,LargeOffice,,46.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301736,DOERefPre1980,MediumOffice,4.0,15.4,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301746,DOERefPre1980,MediumOffice,,23.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301753,DOERefPre1980,Courthouse,,25.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,Courthouse,both,True,True,True
way/265301758,DOERefPre1980,MediumOffice,,16.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301761,DOERefPre1980,MediumOffice,,27.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301763,DOERefPre1980,MediumOffice,,17.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301766,DOERefPre1980,MediumOffice,,18.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301767,DOERefPre1980,LargeOffice,,59.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301769,DOERefPre1980,LargeOffice,,52.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265301770,DOERefPre1980,TallBuilding,,73.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301775,DOERefPre1980,MediumOffice,,17.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301777,DOERefPre1980,MediumOffice,,17.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301778,DOERefPre1980,MediumOffice,,18.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301780,DOERefPre1980,TallBuilding,,84.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301782,DOERefPre1980,MediumOffice,,17.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301784,DOERefPre1980,MediumOffice,,23.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301786,DOERefPre1980,MediumOffice,,17.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301788,DOERefPre1980,MediumOffice,,13.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301790,DOERefPre1980,MediumOffice,,22.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,True,True
way/265301792,DOERefPre1980,MediumOffice,,23.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301794,DOERefPre1980,MediumOffice,,27.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301795,DOERefPre1980,LargeOffice,,68.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301797,DOERefPre1980,MediumOffice,,12.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301799,DOERefPre1980,SmallOffice,,13.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301801,DOERefPre1980,LargeOffice,,49.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301805,DOERefPre1980,LargeOffice,16.0,61.4,,OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301808,DOERefPre1980,LargeOffice,,48.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301810,DOERefPre1980,TallBuilding,,70.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301813,DOERefPre1980,MediumOffice,,17.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301816,DOERefPre1980,LargeOffice,,34.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301817,DOERefPre1980,MediumOffice,,18.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301821,DOERefPre1980,SmallOffice,,3.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301824,DOERefPre1980,MediumOffice,,17.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301825,DOERefPre1980,LargeOffice,,46.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301826,DOERefPre1980,MediumOffice,,17.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301827,DOERefPre1980,MediumOffice,,17.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301828,DOERefPre1980,LargeOffice,,45.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301829,DOERefPre1980,MediumOffice,,15.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301833,DOERefPre1980,LargeOffice,,44.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,LargeOffice,both,True,True,True
way/265301835,DOERefPre1980,LargeOffice,,45.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301837,DOERefPre1980,MediumOffice,,19.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301838,DOERefPre1980,MediumOffice,,10.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301841,DOERefPre1980,MediumOffice,,51.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,True,True
way/265301842,DOERefPre1980,LargeOffice,,66.4,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301843,DOERefPre1980,MediumOffice,,23.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301844,DOERefPre1980,MediumOffice,,20.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301845,DOERefPre1980,MediumOffice,,18.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301848,DOERefPre1980,MediumOffice,,16.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301849,DOERefPre1980,TallBuilding,,77.3,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301853,DOERefPre1980,MediumOffice,,44.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,True,True
way/265301854,DOERefPre1980,MediumOffice,16.0,,,OSM_OBSERVED,OSM_MISSING,OSM_MISSING,both,90.1-2013,LargeHotel,both,False,False,True
way/265301856,DOERefPre1980,SmallOffice,,,,OSM_MISSING,OSM_MISSING,OSM_MISSING,both,90.1-2013,LargeHotel,both,False,False,True
way/265301857,DOERefPre1980,TallBuilding,,76.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,TallBuilding,both,True,True,True
way/265301859,DOERefPre1980,SmallOffice,,8.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,True,True
way/265301861,DOERefPre1980,MediumOffice,,23.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301862,DOERefPre1980,MediumOffice,,16.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301868,DOERefPre1980,MediumOffice,,10.8,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301870,DOERefPre1980,LargeOffice,,47.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301871,DOERefPre1980,MediumOffice,,16.7,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301873,DOERefPre1980,MediumOffice,,16.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301876,DOERefPre1980,LargeOffice,,58.0,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301877,90.1-2013,LargeOffice,19.0,,2013.0,OSM_OBSERVED,OSM_MISSING,OSM_OBSERVED,both,90.1-2013,LargeHotel,both,True,False,True
way/265301882,DOERefPre1980,MediumOffice,,17.2,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301883,DOERefPre1980,MediumOffice,,17.1,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301885,DOERefPre1980,MediumOffice,,16.9,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301886,DOERefPre1980,LargeOffice,,50.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301888,DOERefPre1980,LargeOffice,,59.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301889,90.1-2007,LargeOffice,19.0,66.9,2009.0,OSM_OBSERVED,OSM_OBSERVED,OSM_OBSERVED,both,90.1-2007,LargeHotel,both,True,False,False
way/265301894,DOERefPre1980,MediumOffice,,14.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301901,DOERefPre1980,LargeOffice,,45.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,MediumOffice,both,True,False,True
way/265301903,DOERefPre1980,MediumOffice,,18.5,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
way/265301908,DOERefPre1980,MediumOffice,,17.6,,OSM_MISSING,OSM_OBSERVED,OSM_MISSING,both,DOERefPre1980,SmallOffice,both,True,False,True
