cell,osm_id,archetype_id,recovered_levels,footprint_area_m2,base_generation_status,treat_generation_status,base_zoning_strategy,treat_zoning_strategy,base_num_zones,treat_num_zones,base_idf_path,treat_idf_path,epw_path,base_num_floors_from_idf,treat_num_floors_from_idf,floor_count_control_pass,prep_status,arm_kind,recovered_lev_src
la_urban,way/1416444072,MidriseApartment,7,2043.8160891610005,success,success,single_zone,one_zone_per_floor,1,7,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_1416444072\baseline\idfs\way_1416444072.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\la_urban\way_1416444072\treated\idfs\way_1416444072.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\la_urban\weather\weather\USA_CA_Los.Angeles.Downtown-USC.Campus.722874_TMYx.2011-2025.epw,1.0,7.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
nyc_suburban,way/845748805,MidriseApartment,1,122.31413715418314,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748805\baseline\idfs\way_845748805.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748805\treated\idfs\way_845748805.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW
nyc_suburban,way/845748890,MidriseApartment,1,77.98164178426632,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748890\baseline\idfs\way_845748890.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748890\treated\idfs\way_845748890.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW
nyc_suburban,way/845748895,MidriseApartment,1,132.7063152800843,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748895\baseline\idfs\way_845748895.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_845748895\treated\idfs\way_845748895.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW
nyc_suburban,way/1014146266,MidriseApartment,1,191.73002663523187,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146266\baseline\idfs\way_1014146266.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146266\treated\idfs\way_1014146266.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW
nyc_suburban,way/1014146317,MidriseApartment,1,71.28634248686393,success,success,single_zone,single_zone,1,1,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146317\baseline\idfs\way_1014146317.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_suburban\way_1014146317\treated\idfs\way_1014146317.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_suburban\weather\weather\USA_NY_Uniondale-Mitchel.AFB.749105_TMYx.epw,1.0,1.0,True,ok,negative_control,LEVELS_DEFAULT_LOW
nyc_urban,way/281344664,MidriseApartment,6,11077.468545417214,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281344664\baseline\idfs\way_281344664.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281344664\treated\idfs\way_281344664.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
nyc_urban,way/281345438,MidriseApartment,6,2168.640651959005,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281345438\baseline\idfs\way_281345438.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_281345438\treated\idfs\way_281345438.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
nyc_urban,way/821626191,MidriseApartment,6,272.8871398655494,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_821626191\baseline\idfs\way_821626191.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_821626191\treated\idfs\way_821626191.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
nyc_urban,way/828447386,MidriseApartment,6,1774.0342422849574,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_828447386\baseline\idfs\way_828447386.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_828447386\treated\idfs\way_828447386.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
nyc_urban,way/832347781,MidriseApartment,6,811.6296992229868,success,success,single_zone,one_zone_per_floor,1,6,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_832347781\baseline\idfs\way_832347781.idf,C:\Users\o_iseri\AppData\Local\Temp\open35_storey_intervention\nyc_urban\way_832347781\treated\idfs\way_832347781.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet\nyc_urban\weather\weather\USA_NY_New.York-Central.Park.Obs-Belvedere.Castle.725053_TMYx.2011-2025.epw,1.0,6.0,True,ok,treatment,GROUPMEDIAN_LEVELS_MED
