osm_id,year_built,data_quality_flag,run2_archetype,head_vintage,head_vintage_tier,e02_vintage,e02_archetype,cell
way/265296283,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265296284,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265296287,1930.0,"generic_tag,no_floors,no_function,no_height",MediumOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,MediumOffice,nyc_centre
way/265301696,1922.0,"generic_tag,no_floors,no_function",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/265301698,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301700,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERef1980to2004,HOTDECK_NEIGHBOR_HIGH,DOERef1980to2004,LargeOffice,nyc_centre
way/265301703,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301704,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301705,2002.0,no_floors,MidriseApartment,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,MidriseApartment,nyc_centre
way/265301706,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301708,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301710,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301712,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301713,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301714,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301715,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301717,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301719,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301720,2018.0,no_floors,HighriseApartment,90.1-2019,OBSERVED_YEAR,90.1-2019,HighriseApartment,nyc_centre
way/265301723,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,HOTDECK_NEIGHBOR_HIGH,DOERefPre1980,LargeOffice,nyc_centre
way/265301724,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301726,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERef1980to2004,HOTDECK_NEIGHBOR_HIGH,DOERef1980to2004,MediumOffice,nyc_centre
way/265301728,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301729,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301730,1913.0,"generic_tag,no_floors,no_function",TallBuilding,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,TallBuilding,nyc_centre
way/265301731,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265301733,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301736,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301746,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301753,,"no_floors,no_year",Courthouse,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,Courthouse,nyc_centre
way/265301758,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301761,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301763,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301766,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301767,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301769,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265301770,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265301775,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301777,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301778,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301780,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265301782,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301784,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301786,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301788,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301790,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301792,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301794,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301795,,"no_floors,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301797,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301799,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301801,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301805,,no_year,MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301808,,"generic_tag,no_floors,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301810,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265301813,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301816,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301817,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301821,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301824,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301825,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301826,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301827,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301828,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301829,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301833,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,LargeOffice,nyc_centre
way/265301835,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301837,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301838,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301841,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301842,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301843,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
