mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,zoning_strategy,num_zones,resolution_mode,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,total_eui_kwh_m2
building,way/472960975,SmallOffice,131.75197701519377,success,False,single_zone,1,building,24.013860622930427,31.747395043535914,26.31922676947093,27.611740495935663,18.053772806106156,0.0,6.4393807184956335,134.1853764564747
building,way/472960936,MediumOffice,4367.916319519761,success,False,single_zone,1,building,24.486229102758525,12.39865005448498,8.821700199466667,14.687758697536387,6.609001787315565,0.0,1.752535007532667,68.75587484909478
building,way/472960937,MediumOffice,2702.646676062805,success,False,single_zone,1,building,26.107732882382958,15.424696638224008,13.232550299199998,22.03163804630458,8.005131281973648,0.0,2.7123818990454445,87.51413104713063
building,way/472960938,MediumOffice,2800.8749115707997,success,False,single_zone,1,building,25.929374830958242,15.290006600138613,13.2325493281418,22.03163642953364,7.91693436071661,0.0,2.6715267868131587,87.07202833630205
building,way/472960940,MediumOffice,2811.8654598536828,success,False,single_zone,1,building,25.59863668547647,15.234718830393621,13.232550395378604,22.031638206437904,7.8651201306286795,0.0,2.666761781150885,86.62942602946616
building,way/472960941,MediumOffice,2594.5805624542754,success,False,single_zone,1,building,26.310944343189114,15.477984992194267,13.232550090385445,22.031637698637162,8.05435089887314,0.0,2.761964451936032,87.86943247521515
building,way/472960939,LargeOffice,6158.351395526425,success,False,single_zone,1,building,15.763300045041836,8.900598788513754,13.232550186347277,22.031637858409557,5.920604434091528,0.0,1.641330128584845,67.4900214409888
building,way/472960930,Warehouse,30.45752918513231,success,False,single_zone,1,building,14.767350551410528,0.0,4.863585409250059,11.30040134122397,1.1648371193719058,0.0,21.40712734623108,53.50330176748754
building,way/472960931,Warehouse,60.01566785955741,success,False,single_zone,1,building,17.413722649963937,0.0,2.431792484042133,5.650200158093946,1.3421211274428644,0.0,10.913992621683075,37.75182904122595
building,way/472960932,Warehouse,68.16688906379218,success,False,single_zone,1,building,15.395115087621365,0.0,2.4415136053056035,5.672786904808621,1.1660913395327916,0.0,9.681480459035862,34.35698739630424
building,way/472960933,Warehouse,950.0711005348012,success,False,single_zone,1,building,4.3917254780319,0.0,2.4226397112286437,5.628933952717815,0.1992475194994073,0.0,0.9522905236928766,13.594837185170645
building,way/472960934,Warehouse,174.46363276158667,success,False,single_zone,1,building,8.097857710041282,0.0,2.4317923666016603,5.650199885224374,0.42611251094104685,0.0,4.017733277744346,20.623695750552713
floor,way/472960895,MidriseApartment,206.87808236387656,success,False,one_zone_per_floor,2,floor,56.75652198231452,18.590614694918134,3.965491160723449,43.39802567754816,13.17721917410553,0.0,34.629530803203856,170.51740349281363
floor,way/472960999,MidriseApartment,106.55667836374124,success,False,one_zone_per_floor,2,floor,72.6468141812298,21.917317728068976,3.8921784047880816,42.59569660010938,15.985277059289379,0.0,37.501514856722615,194.53879883020824
floor,way/472961028,MidriseApartment,75.2779891356327,success,False,one_zone_per_floor,1,floor,84.25053936732323,21.553440991134643,3.9654911691172003,43.39802576940872,15.782436713822264,0.0,40.01924619832926,208.96918020913535
floor,way/472961029,MidriseApartment,64.70239900725761,success,False,one_zone_per_floor,1,floor,90.22619041189152,22.544006312777906,3.965491175380045,43.39802583794881,16.695860653560967,0.0,41.400393711260634,218.22996810281987
floor,way/472961098,MidriseApartment,266.3294797152314,success,False,one_zone_per_floor,2,floor,48.082318601079216,17.341703818117654,3.9654911023105788,43.39802503828226,12.191992898835704,0.0,33.94487112508895,158.92440258371437
floor,way/222366800,SmallOffice,149.94484356356114,success,False,one_zone_per_floor,1,floor,22.81557742979592,27.219791926673892,26.465100441814634,27.764777894078968,16.390704714544302,0.0,5.814074621951275,126.470027028859
floor,way/472960967,SmallOffice,441.6645091840761,success,False,one_zone_per_floor,2,floor,19.71508366318685,26.495317629713284,26.513937297747102,27.816013084400325,15.035366058010833,0.0,2.7856458367764514,118.36136356983485
floor,way/472960970,SmallOffice,29.40207916414758,success,False,one_zone_per_floor,1,floor,54.99590791808035,68.7028270742905,26.46510168578203,27.764779199136495,41.593430479648426,0.0,24.5830604766139,244.10510683355173
floor,way/472960971,SmallOffice,457.1761362533084,success,False,one_zone_per_floor,2,floor,17.581344033479045,24.386899750422703,26.27430288319715,27.564610437719093,13.262965013504958,0.0,2.7332499942770885,111.80337211260003
floor,way/472960975,SmallOffice,131.75197701519377,success,False,one_zone_per_floor,1,floor,24.013860622930427,31.747395043535914,26.31922676947093,27.611740495935663,18.053772806106156,0.0,6.4393807184956335,134.1853764564747
floor,way/472960936,MediumOffice,4367.916319519761,success,False,one_zone_per_floor,3,floor,13.12834512155878,22.212374354258987,26.465099718848506,44.063274628193035,44.26138792535571,0.0,3.8005349957693073,153.93101674398432
floor,way/472960937,MediumOffice,2702.646676062805,success,False,one_zone_per_floor,2,floor,15.424912621624493,23.06910950059654,26.465101457597708,44.0632775231371,46.34269091806226,0.0,4.249880323036106,159.6149723440542
floor,way/472960938,MediumOffice,2800.8749115707997,success,False,one_zone_per_floor,2,floor,15.074161388325239,22.864300733845155,26.465098918094398,44.06327329497122,45.79973270966687,0.0,4.208779155410725,158.4753462003136
floor,way/472960940,MediumOffice,2811.8654598536828,success,False,one_zone_per_floor,2,floor,14.92259339284429,22.820664850172573,26.465100493468828,44.063275917903205,45.68316482312394,0.0,4.203882778041558,158.1586822555544
floor,way/472960941,MediumOffice,2594.5805624542754,success,False,one_zone_per_floor,2,floor,15.400511030849875,22.975512352207925,26.465100180708113,44.0632753971698,46.20625249723721,0.0,4.299712687772242,159.41036414594518
floor,way/472960939,LargeOffice,6158.351395526425,success,False,one_zone_per_floor,2,floor,9.37331287866349,19.789717654957197,26.465100456291825,44.06327585600505,37.31200597641861,6.709892604177282,2.7672295717694726,146.48053499828293
floor,way/472960930,Warehouse,30.45752918513231,success,False,one_zone_per_floor,1,floor,14.767350551410528,0.0,4.863585409250059,11.30040134122397,1.1648371193719058,0.0,21.40712734623108,53.50330176748754
