cell,osm_id,archetype_id,floor_area_m2,total_eui_kwh_m2,gap_pct,extract_status,extracted_total_kwh,expected_total_kwh,reconcile_rel_err_pct,reconciled_within_2pct,Heating,Cooling,Interior_Lighting,Interior_Equipment,Water_Systems,Fans,Pumps
la_suburban,way/442341109,MidriseApartment,1059.92,88.67563528081433,-12.192690042550566,ok,106552.786302,93989.07934684074,13.367198660172388,False,2663.889102,7650.000612,5377.778208,39650.003172000004,41513.89221,7555.55616,0.0
la_urban,way/401911275,MidriseApartment,290.19999999999993,103.4940665228834,-22.69859504514543,ok,33472.2249,30033.978104940757,11.447856767577628,False,3322.2224880000003,3147.222474,1472.22234,10861.111980000001,11386.112022000001,2697.2224380000002,0.0
la_urban,way/402279962,MidriseApartment,998.4800000000004,92.6071495541622,-12.60665263413332,ok,104302.786122,92466.3866868399,12.800759129095168,False,2563.889094,10186.111926000001,5066.667072,37358.336322,39088.892016,8019.445086000001,0.0
la_urban,way/402222550,MidriseApartment,2081.12,90.4278808006355,-9.745492624850783,ok,212858.350362,188191.27129181856,13.107451212193293,False,1744.444584,20888.890560000003,10558.334178,77858.33956200001,81369.450954,16230.556854,0.0
la_urban,relation/6387018,MidriseApartment,6632.639999999996,89.35702657092168,-2.9666547421061664,ok,671286.1648139999,592672.9887153576,13.264173936632323,False,883.3334040000001,66433.338648,33644.447136,248130.57540600002,259019.465166,49763.89287,0.0
nyc_centre,way/266170743,SmallOffice,142.64,90.2014087909046,-27.534550127833235,ok,13405.556628,12866.32894993463,4.19099869250669,False,2905.5557880000006,1102.7778660000001,1455.5556720000002,3744.4447440000004,1944.4446,1719.444582,0.0
nyc_centre,way/266170570,LargeHotel,1128.62,320.0943798146207,-26.05103834807505,ok,501133.373424,361264.9189463772,38.71631236311201,False,102150.008172,44616.670236000005,12097.22319,94986.11871000002,78775.006302,27300.002184,6022.222704
nyc_centre,way/266170721,LargeOffice,3225.19,162.59381146997578,-41.66728744707768,ok,1262252.878758,524395.9348148511,140.70607625966142,False,175586.125158,42205.558932,33111.11376,283872.244932,15441.667902000001,82986.11775,11886.112062
nyc_centre,way/265424467,Courthouse,17769.150000000005,153.07516838443394,-24.819092693386928,ok,2757372.4428120004,2720015.628298265,1.3734044071322922,True,812908.398366,345266.694288,349636.139082,502086.15127800003,86452.78469400002,626411.161224,34611.11388
nyc_rural,way/772627016,SmallOffice,62.07000000000001,105.97970322691047,-36.69750470407092,ok,6811.111656,6578.160179294334,3.5412861705452707,False,1905.555708,641.6667180000001,630.555606,1627.7779080000003,847.22229,922.222296,0.0
nyc_rural,way/772627029,SmallOffice,116.68,91.39497623822714,-36.83511605852715,ok,11105.556444,10663.965827476344,4.1409605363313435,False,2508.333534,950.000076,1188.8889840000002,3061.111356,1588.889016,1366.666776,0.0
nyc_rural,way/270445757,SmallOffice,216.4,82.02145248164429,-33.37939989547555,ok,18569.445929999998,17749.442317027824,4.619883815648158,False,3433.333608,1425.000114,2213.889066,5680.55601,2947.222458,2050.000164,0.0
nyc_rural,way/772627043,SmallOffice,470.61,74.6312662595511,-32.671608728083825,ok,36902.78073,35122.220214407345,5.069612640439674,False,5502.778218000001,2458.33353,4869.444834000001,12352.778766,6411.111624,3527.77806,0.0
nyc_suburban,way/846412106,OpenUBEMUnknown,32.65,313.95992848209545,-13.752022643718592,ok,10347.22305,10250.791664940416,0.9407213434002125,True,3386.111382,900.0000720000002,813.8889540000001,1408.333446,3352.7780460000004,486.11115,0.0
nyc_suburban,way/846412091,MidriseApartment,342.3999999999999,193.6410275412415,-12.214478101306153,ok,70358.338962,66302.68783012107,6.1168728819413865,False,35244.447264,2369.444634,1736.1112500000002,12808.334358,13472.223300000001,4036.111434,0.0
nyc_suburban,way/815835776,SmallOffice,111.17,105.55567704551171,-27.579970070292653,ok,12152.778750000001,11734.624617149537,3.5634214684580043,False,3952.7780940000002,733.3333920000001,1133.3334240000002,2916.6669,1516.666788,1480.5556740000002,0.0
nyc_suburban,way/610017070,SmallOffice,149.49,98.6641421063892,-30.352424706949652,ok,15313.890114000002,14749.302603484124,3.8278929227644225,False,4572.2225880000005,902.7778500000001,1525.0001220000001,3925.0003140000003,2038.889052,1786.111254,0.0
nyc_urban,way/241862488,OpenUBEMUnknown,76.02,227.3282425459255,-12.446442172518683,ok,17497.223622,17281.492998341255,1.2483332526851305,True,5644.444896,1358.3334419999999,1861.1112600000001,1730.5556940000001,3613.889178,3122.2224720000004,169.444458
nyc_urban,way/241862544,SmallOffice,72.14,105.02930076145644,-26.67259126564095,ok,7850.000628,7576.813756931468,3.605564025097141,False,2144.444616,697.222278,733.3333920000001,1894.4445960000003,983.3334120000001,1125.00009,0.0
nyc_urban,way/281344759,SmallOffice,105.57000000000002,95.92530443410408,-26.71693838579463,ok,10525.000842000001,10126.83438910837,3.931795836612756,False,2522.222424,897.222294,1075.000086,2769.4446660000003,1438.8890039999999,1422.222336,0.0
nyc_urban,way/241862173,SmallOffice,286.47,80.50067851640007,-19.444897622402827,ok,24141.668598,23061.02937459313,4.6859973414605465,False,4155.555888000001,1825.000146,2938.8891240000003,7519.445046000001,3905.5558680000004,2716.6668839999998,0.0
