cell,osm_id,archetype_id,use_class,recovered_levels,recovered_lev_src,genuine_disagreement
nyc_suburban,way/813473586,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473587,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473588,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473589,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473591,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473592,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473594,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473596,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473597,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473598,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473601,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473603,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473604,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473605,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473606,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473607,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473611,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473613,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473614,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473615,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473616,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473618,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473620,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473621,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473622,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473623,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473626,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473627,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473628,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473630,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473631,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473633,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473634,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473636,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473637,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473638,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473640,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473641,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473642,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473643,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473645,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473646,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473649,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473650,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473652,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473654,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473655,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473656,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/815834485,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/815834487,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/815834495,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/815834663,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748783,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748784,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748785,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748786,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748788,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748789,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748790,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748792,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748793,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748795,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748797,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748799,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748800,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748801,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748802,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748804,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748805,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748806,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748807,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748808,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748809,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748810,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748811,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748813,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748814,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748817,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748818,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748820,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748821,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748822,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748823,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748824,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748825,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748829,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
