cell,osm_id,archetype_id,footprint_area_m2,recorded_floor_area_m2,recorded_total_eui_kwh_m2,recorded_dhw_eui_kwh_m2,recorded_simulation_status,generation_status,zoning_strategy,num_zones,status,elapsed_s,dh_total_gj,dh_total_kwh,dh_a_reconciles,dh_b_available,dh_water_systems_gj,dh_other_rows_sum_gj,c2b_pass,parsed_parse_status,parsed_error_summary,parsed_data_quality_flag,parsed_floor_area_m2,parsed_floor_area_provenance,parsed_heating_eui_kwh_m2,parsed_cooling_eui_kwh_m2,parsed_lighting_eui_kwh_m2,parsed_equipment_eui_kwh_m2,parsed_fans_eui_kwh_m2,parsed_pumps_eui_kwh_m2,parsed_dhw_gas_eui_kwh_m2,parsed_dhw_elec_eui_kwh_m2,parsed_dhw_eui_kwh_m2,parsed_cooking_eui_kwh_m2,parsed_refrigeration_eui_kwh_m2,parsed_elevators_eui_kwh_m2,parsed_total_eui_kwh_m2,parsed_iod,c1_diff_kwh_m2,c1_pass
la_urban,way/244066774,SmallOffice,811.3065824548673,2425.65,80.62389786320182,1.5105329984811615,success,success,perimeter_core,3,ok,31.7,10.81,3002.777777777778,True,False,10.81,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback",2425.6499999999996,eio_simulated,3.340012725453829,14.190261923558458,26.465152070575254,27.764832058281932,7.353106086851165,0.0,0.0,1.5105329984811746,1.5105329984811746,0.0,0.0,0.0,80.62389786320182,0.0,0.0,True
nyc_urban,way/280618333,SmallOffice,68.71148325922776,137.42,146.58181335827024,6.403346693090466,success,success,one_zone_per_floor,2,ok,32.2,0.69,191.66666666666666,True,False,0.69,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",137.42,eio_simulated,55.95885897297735,14.01169768927068,26.46567188692672,27.765377402350264,15.97686071365472,0.0,0.0,6.40334669309047,6.40334669309047,0.0,0.0,0.0,146.5818133582702,0.004832199807003573,-2.842170943040401e-14,True
la_urban,way/402222553,SmallOffice,311.08227391360197,933.24,87.71169389861957,1.9566821158343195,success,success,one_zone_per_floor,3,ok,13.8,4.15,1152.7777777777778,True,False,4.15,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",933.24,eio_simulated,5.597369992599888,16.498040776390113,26.465293786242906,27.764980733479476,9.429326494072876,0.0,0.0,1.956682115834308,1.956682115834308,0.0,0.0,0.0,87.71169389861957,0.0,0.0,True
austin_urban,way/381805707,SmallOffice,49.1100935293925,98.22,135.59760822321036,7.889898784354546,success,success,one_zone_per_floor,2,ok,8.4,0.4,111.11111111111111,True,False,0.4,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",98.22,eio_simulated,20.032029956332,37.519431537683246,26.46515081447125,27.764830740491774,15.926266389877538,0.0,0.0,7.889898784354559,7.889898784354559,0.0,0.0,0.0,135.59760822321036,0.0,0.0,True
la_rural,way/472961084,SmallOffice,76.43975648908746,76.44,142.26958341838352,10.21471440392922,success,success,single_zone,1,ok,7.3,0.34,94.44444444444444,True,False,0.34,0.0,True,success,,"generic_tag,no_floors,no_function",76.44,eio_simulated,30.65608742899486,30.279871047477013,26.465016289912334,27.76468960955188,16.889204638518223,0.0,0.0,10.214714403929129,10.214714403929129,0.0,0.0,0.0,142.26958341838343,0.0,-8.526512829121202e-14,True
la_suburban,way/449560240,SmallOffice,62.93392685339711,62.93,103.12488468692035,12.238460903551314,success,success,single_zone,1,ok,5.9,0.29,80.55555555555554,True,False,0.29,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",62.93,eio_simulated,10.775212734959496,16.400920732495127,26.466752029675863,27.76651058994537,9.477027696293188,0.0,0.0,12.23846090355129,12.23846090355129,0.0,0.0,0.0,103.12488468692034,0.0,-1.4210854715202004e-14,True
nyc_rural,way/1386674592,SmallOffice,105.86745592575737,105.87,142.6712457634607,7.999910526829494,success,success,single_zone,1,ok,4.2,0.57,158.33333333333331,True,False,0.57,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",105.87,eio_simulated,48.21357338327116,15.275142950149972,26.464464637497375,27.76411086597939,16.95404339973333,0.0,0.0,7.999910526829532,7.999910526829532,0.0,0.0,0.0,142.67124576346075,0.04978520586211781,5.684341886080802e-14,True
nyc_suburban,way/815835742,SmallOffice,134.1428484874731,134.14,143.25346850741178,6.643765688770835,success,success,single_zone,1,ok,4.4,0.71,197.2222222222222,True,False,0.71,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",134.14,eio_simulated,55.351314723530436,12.130026557450888,26.465662589659345,27.7653676485024,14.897331299497901,0.0,0.0,6.643765688770794,6.643765688770794,0.0,0.0,0.0,143.25346850741178,0.01618353711068708,0.0,True
la_urban,way/402222555,SmallOffice,83.47864678560214,166.96,92.81363384087288,5.314329586062309,success,success,one_zone_per_floor,2,ok,8.5,0.74,205.55555555555554,True,False,0.74,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",166.96,eio_simulated,9.921037314668181,14.26189366605161,26.464671238468306,27.764327612939535,9.087374422682924,0.0,0.0,5.314329586062302,5.314329586062302,0.0,0.0,0.0,92.81363384087285,0.0010471410797261865,-2.842170943040401e-14,True
austin_rural,way/1004591178,SmallOffice,1169.2292758818326,1169.23,84.83860413608402,1.7443356929349358,success,success,single_zone,1,ok,4.1,4.96,1377.7777777777778,True,False,4.96,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",1169.23,eio_simulated,7.279386730613904,15.757972368226051,26.46508420824567,27.76476086329393,5.8270642727695225,0.0,0.0,1.7443356929349292,1.7443356929349292,0.0,0.0,0.0,84.838604136084,0.0,-1.4210854715202004e-14,True
austin_suburban,way/382993610,SmallOffice,176.13490701655124,528.24,106.55502150913335,2.4129792796676783,success,success,one_zone_per_floor,3,ok,14.8,2.21,613.8888888888889,True,False,2.21,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",528.24,eio_simulated,13.565400726846589,26.138692797223516,26.46536001083078,27.765050210297723,10.207538484267085,0.0,0.0,2.412979279667684,2.412979279667684,0.0,0.0,0.0,106.55502150913338,0.0,2.842170943040401e-14,True
la_centre,way/905248734,SmallOffice,322.94343080114623,322.49,84.28176265815439,3.3656856445434418,success,success,single_zone,1,ok,5.6,1.43,397.2222222222222,True,False,1.43,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",322.49,eio_simulated,6.679199450525945,12.656970587388368,26.4648505237229,27.7645157027329,7.350540749240865,0.0,0.0,3.3656856445434418,3.3656856445434418,0.0,0.0,0.0,84.28176265815442,0.0,2.842170943040401e-14,True
austin_suburban,way/382991660,SmallOffice,207.00717728429555,414.02,103.72641681863878,2.76143031538786,success,success,one_zone_per_floor,2,ok,7.5,1.73,480.55555555555554,True,False,1.73,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",414.02,eio_simulated,12.061005073722521,25.11314270948781,26.46473981397505,27.764399556128186,9.561699349937351,0.0,0.0,2.761430315387857,2.761430315387857,0.0,0.0,0.0,103.72641681863878,0.0,0.0,True
nyc_urban,way/281344932,SmallOffice,44.224630163691245,44.22,168.12136410719006,16.991095596765373,success,success,single_zone,1,ok,20.0,0.22,61.11111111111111,True,False,0.22,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",44.22,eio_simulated,66.47003902361223,13.356838259112424,26.467871691748616,27.76768523762279,17.067834298328666,0.0,0.0,16.991095596765337,16.991095596765337,0.0,0.0,0.0,168.1213641071901,0.00031297841929209063,2.842170943040401e-14,True
la_suburban,way/285843827,SmallOffice,1043.8978613452894,1043.9,74.86513904404077,1.9194485159252157,success,success,single_zone,1,ok,5.1,4.76,1322.2222222222222,True,False,4.76,0.0,True,success,,"generic_tag,no_floors,no_height,no_year|GROUPMODE_MED",1043.9,eio_simulated,3.123793209568973,10.418699097442788,26.465046378922978,27.764721176206972,5.173430665973843,0.0,0.0,1.9194485159252146,1.9194485159252146,0.0,0.0,0.0,74.86513904404076,0.0,-1.4210854715202004e-14,True
la_rural,way/472961085,SmallOffice,100.77630121052766,100.78,130.7168513506929,8.047163126768783,success,success,single_zone,1,ok,6.5,0.45,125.0,True,False,0.45,0.0,True,success,,"generic_tag,no_floors,no_function",100.78,eio_simulated,25.353913612797722,27.620679581472412,26.464129286279753,27.763759045962914,15.467206697411328,0.0,0.0,8.047163126768803,8.047163126768803,0.0,0.0,0.0,130.71685135069293,0.0,2.842170943040401e-14,True
austin_centre,way/328607275,SmallOffice,344.4763899791597,688.96,96.068487010807,2.094535437808115,success,success,one_zone_per_floor,2,ok,11.7,2.82,783.3333333333333,True,False,2.82,0.0,True,success,,"generic_tag,no_function,no_height,no_year|GROUPMODE_MED",688.96,eio_simulated,9.88763121231357,21.421939755182077,26.464828316131822,27.764492404546854,8.435059884824552,0.0,0.0,2.094535437808122,2.094535437808122,0.0,0.0,0.0,96.06848701080699,0.0,-1.4210854715202004e-14,True
austin_urban,way/382005654,SmallOffice,240.03627614682057,479.4,109.52694801162048,2.520195169798511,success,success,one_zone_per_floor,2,ok,11.1,1.97,547.2222222222222,True,False,1.97,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",479.4,eio_simulated,12.612592344401357,28.626227715520294,26.465156505417696,27.764836710915514,11.537939565567072,0.0,0.0,2.5201951697985088,2.5201951697985088,0.0,0.0,0.0,109.52694801162045,0.0,-2.842170943040401e-14,True
nyc_rural,way/772627013,SmallOffice,132.09400236306737,132.09,135.269387794318,6.703642449762029,success,success,single_zone,1,ok,4.7,0.71,197.2222222222222,True,False,0.71,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",132.09,eio_simulated,44.015625732384535,13.860426475412648,26.46590249817447,27.76561933871048,16.458171299873857,0.0,0.0,6.703642449762106,6.703642449762106,0.0,0.0,0.0,135.2693877943181,0.04495324876194632,1.1368683772161603e-13,True
nyc_suburban,way/815835757,SmallOffice,67.65594538288556,67.66,171.57118727160417,11.749805694848687,success,success,single_zone,1,ok,5.0,0.36,100.0,True,False,0.36,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",67.66,eio_simulated,73.14544238548089,13.823705233305597,26.463514641411802,27.763114216434303,18.625605100122836,0.0,0.0,11.749805694848664,11.749805694848664,0.0,0.0,0.0,171.57118727160412,0.024453115995601113,-5.684341886080802e-14,True
austin_rural,way/762123128,SmallOffice,362.2125227566038,362.21,102.52492200585893,3.0265038935716118,success,success,single_zone,1,ok,13.3,1.54,427.77777777777777,True,False,1.54,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",362.21,eio_simulated,13.320167089581126,22.15932777159315,26.46528492519193,27.764971437270205,9.788666888650857,0.0,0.0,3.0265038935716007,3.0265038935716007,0.0,0.0,0.0,102.52492200585885,0.0,-7.105427357601002e-14,True
la_urban,way/428846130,SmallOffice,661.8565110816223,1322.16,83.41526045443467,1.744753662910179,success,success,perimeter_core,2,ok,21.0,5.88,1633.3333333333333,True,False,5.88,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback",1322.16,eio_simulated,5.124805075952953,14.479539118754962,26.465245163247808,27.764929722652507,7.835987710916271,0.0,0.0,1.7447536629101876,1.7447536629101876,0.0,0.0,0.0,83.41526045443469,0.0,1.4210854715202004e-14,True
austin_suburban,way/382991846,SmallOffice,154.5573176398849,309.36,110.46538971413214,3.3057105945610687,success,success,one_zone_per_floor,2,ok,15.6,1.29,358.3333333333333,True,False,1.29,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",309.36,eio_simulated,14.720634475792156,27.3868061583095,26.465948141746306,27.765667223797383,10.820623119925713,0.0,0.0,3.30571059456107,3.30571059456107,0.0,0.0,0.0,110.46538971413213,0.0,-1.4210854715202004e-14,True
nyc_urban,way/280621037,SmallOffice,106.30819995096986,209.56,141.15843913604874,4.699320951922945,success,success,one_zone_per_floor,2,ok,29.9,1.07,297.22222222222223,True,False,1.07,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",209.56,eio_simulated,50.74173585050519,15.024155445025732,26.463855092647098,27.76347138692578,16.465900409021977,0.0,0.0,4.699320951922935,4.699320951922935,0.0,0.0,0.0,141.1584391360487,0.009286452231677655,-2.842170943040401e-14,True
austin_centre,way/328607258,SmallOffice,232.42813039530915,464.86,107.38697119557216,2.561730189077252,success,success,one_zone_per_floor,2,ok,19.8,1.91,530.5555555555555,True,False,1.91,0.0,True,success,,"generic_tag,no_function,no_height,no_year|GROUPMODE_MED",464.86,eio_simulated,13.939998111071631,25.718628984735584,26.464886600346393,27.76455355104716,10.93717375929415,0.0,0.0,2.5617301890772453,2.5617301890772453,0.0,0.0,0.0,107.38697119557216,0.0,0.0,True
la_rural,way/472961221,SmallOffice,45.587704181644725,45.59,161.58454451556105,16.281776705146783,success,success,single_zone,1,ok,9.1,0.2,55.55555555555556,True,False,0.2,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",45.59,eio_simulated,34.318486620861854,35.82448389110007,26.463767870527043,27.76337988140528,20.93264954652005,0.0,0.0,16.281776705146758,16.281776705146758,0.0,0.0,0.0,161.58454451556108,0.003450568933046653,2.842170943040401e-14,True
nyc_centre,way/266149316,SmallOffice,154.01890370925057,616.08,135.95982571476745,2.5101547528112387,success,success,one_zone_per_floor,4,ok,29.7,3.1,861.1111111111111,True,False,3.1,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",616.08,eio_simulated,58.19518986730865,8.939232085095911,26.46490208993219,27.764569801312696,12.085777118306773,0.0,0.0,2.5101547528112547,2.5101547528112547,0.0,0.0,0.0,135.95982571476745,0.0,0.0,True
