cell,osm_id,percentile_slot,footprint_area_m2,levels,archetype_id,auto_total_eui_kwh_m2,auto_floor_area_m2,parse_status,sim_outcome,total_eui_kwh_m2,floor_area_m2,num_zones,sql_size_bytes,error_summary
la_rural,way/472961221,10,45.587704508805714,1.0,SmallOffice,161.58454451556105,45.59,success,success,102.86274918901034,43.2,6,8474624,
la_rural,way/472961296,35,89.27046559196897,2.0,SmallOffice,124.2245159284092,178.54,success,success,89.60276404909698,84.56,6,8474624,
la_rural,way/472961040,65,195.65185260564323,2.0,SmallOffice,106.31184704908644,391.3,success,success,79.14574758840415,185.35,6,8470528,
la_rural,way/472961122,90,919.3280168859112,3.0,SmallOffice,85.26789092536347,2757.99,success,success,68.46127788302954,870.93,6,8470528,
la_suburban,way/442634561,10,40.337494684037694,2.0,MidriseApartment,141.03320130041325,80.68,success,success,112.73620961436876,161.28,27,39161856,
la_suburban,way/442621955,35,144.27344216337684,2.0,MidriseApartment,109.98801035094164,288.54,success,success,92.1738584531116,572.2000000000002,27,39194624,
la_suburban,way/442340540,65,196.0346599344911,2.0,MidriseApartment,107.66473587427944,392.06,success,success,90.09209695617287,780.0400000000004,27,39202816,
la_suburban,way/442341109,90,264.97643898844467,3.0,MidriseApartment,100.98889867345405,794.94,success,success,88.67563528081433,1059.92,27,39202816,
la_urban,way/401911275,10,71.8846964870862,2.0,MidriseApartment,133.88381049907932,143.76,success,success,103.4940665228834,290.19999999999993,27,38248448,
la_urban,way/402279962,35,249.65390769716896,2.0,MidriseApartment,105.96590283522184,499.3,success,success,92.60714955416219,998.4800000000004,27,38268928,
la_urban,way/402222550,65,520.2948597020815,3.0,MidriseApartment,100.1920939247562,1560.87,success,success,90.4278808006355,2081.12,27,38277120,
la_urban,relation/6387018,90,1777.4694657789282,5.0,MidriseApartment,92.08898892790911,8887.35,success,success,89.35702657092168,6632.639999999996,27,38281216,
nyc_centre,way/266170743,10,150.56342581364737,5.0,SmallOffice,124.47505528500147,752.8,success,success,90.20140879090461,142.64,6,8507392,
nyc_centre,way/266170570,35,282.18931580508433,11.0,LargeHotel,432.8585184485662,3104.09,success,success,320.0943798146207,1128.62,22,32120832,
nyc_centre,way/266170721,65,720.5337078043971,14.0,LargeOffice,278.7352145204333,10087.419999999998,success,success,162.59381146997578,3225.1899999999996,23,29581312,
nyc_centre,way/265424467,90,1974.344648971087,9.0,Courthouse,203.60909952861013,17769.150000000005,success,success,153.07516838443394,17769.150000000005,81,118784000,
nyc_rural,way/772627016,10,65.52190884380185,1.0,SmallOffice,167.41789203012024,65.52,success,success,105.97970322691049,62.07000000000001,6,8347648,
nyc_rural,way/772627029,35,123.15891852597224,1.0,SmallOffice,144.69270033474874,123.16,success,success,91.39497623822714,116.67999999999999,6,8347648,
nyc_rural,way/270445757,65,228.42351089453112,1.0,SmallOffice,123.11725255094768,228.42,success,success,82.02145248164429,216.4,6,8347648,
nyc_rural,way/772627043,90,496.7725017823726,1.0,SmallOffice,110.84665005308256,496.77,success,success,74.6312662595511,470.60999999999996,6,8347648,
nyc_suburban,way/846412106,10,32.64611428140372,1.0,OpenUBEMUnknown,364.020047896497,32.65,success,success,313.95992848209545,32.65,1,2506752,
nyc_suburban,way/846412091,35,85.58684128967901,1.0,MidriseApartment,220.58424140225185,85.59,success,success,193.6410275412415,342.3999999999999,27,39182336,
nyc_suburban,way/815835776,65,117.3495612106683,1.0,SmallOffice,145.7548100269589,117.35,success,success,105.55567704551171,111.17,6,8523776,
nyc_suburban,way/610017070,90,157.8137225448097,1.0,SmallOffice,141.6619913776585,157.81,success,success,98.66414210638919,149.49,6,8523776,
nyc_urban,way/241862488,10,38.00651942433818,2.0,OpenUBEMUnknown,259.6447799344274,76.02,success,success,227.3282425459255,76.02,2,3973120,
nyc_urban,way/241862544,35,76.15906312164475,3.0,SmallOffice,143.23334558560884,228.48,success,success,105.02930076145643,72.14,6,8507392,
nyc_urban,way/281344759,65,111.42966040439876,3.0,SmallOffice,130.89696625817513,334.29,success,success,95.92530443410409,105.57000000000002,6,8511488,
nyc_urban,way/241862173,90,302.3887938364258,5.0,SmallOffice,99.9324389646456,1511.9499999999998,success,success,80.50067851640007,286.47,6,8507392,
