osm_id,cell,use_class,archetype_id,archetype_source,levels_source,old_num_floors,new_num_floors_scope_a,new_num_floors_scope_b,changed_scope_a,changed_scope_b
way/428643301,la_urban,commercial,MediumOffice,RULE_USE_CLASS_SIZE,OSM_OBSERVED,1,1,1,False,False
way/428643302,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,5,5,5,False,False
way/428643303,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643304,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643305,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643306,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,5,5,5,False,False
way/428643307,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643308,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643310,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,7,7,7,False,False
way/428643311,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643312,la_urban,commercial,MediumOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,4,4,4,False,False
way/428643313,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/428643314,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643315,la_urban,commercial,MediumOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,7,7,7,False,False
way/428643316,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643317,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643318,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643319,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643320,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643321,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643322,la_urban,commercial,SmallOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,3,3,3,False,False
way/428643323,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/428643324,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
