building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/288276176,residential,apartments,175.8,3.0,9.0,storeys x 3.0 m,,ruled,3,4,351.6,351.6,0.0
way/288276177,residential,apartments,111.8,3.0,9.0,storeys x 3.0 m,,ruled,3,4,234.5,234.5,0.0
way/288276178,residential,apartments,158.5,,9.0,assumed 9.0 m,,massing_box,4,0,475.0,475.0,0.0
way/288276179,residential,apartments,99.3,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,297.9,297.9,0.0
way/288447771,residential,apartments,41.4,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,124.3,124.3,0.0
way/288447773,residential,apartments,171.0,,9.0,assumed 9.0 m,,ruled,4,7,550.6,550.6,0.0
way/288450068,residential,apartments,155.5,,9.0,assumed 9.0 m,,ruled,6,10,777.5,777.5,0.0
way/288450069,residential,apartments,135.5,,9.0,assumed 9.0 m,,massing_box,5,0,677.2,677.2,0.0
way/288461982,residential,apartments,309.3,5.0,15.0,storeys x 3.0 m,,ruled,5,16,755.7,755.7,0.0
way/288461983,residential,apartments,157.9,4.0,12.0,storeys x 3.0 m,,ruled,4,8,631.7,631.7,0.0
way/288461988,residential,apartments,232.5,3.0,9.0,storeys x 3.0 m,,ruled,3,1,232.5,232.5,0.0
way/288461989,residential,apartments,265.0,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,794.9,794.9,0.0
way/288461992,residential,apartments,143.3,2.0,6.0,storeys x 3.0 m,,massing_box,2,0,286.5,286.5,0.0
way/288461994,residential,house,100.1,1.0,3.0,storeys x 3.0 m,,ruled,1,1,100.1,100.1,0.0
way/288461996,residential,house,26.3,1.0,3.0,storeys x 3.0 m,,ruled,1,1,26.3,26.3,0.0
way/288461997,residential,house,53.8,1.0,3.0,storeys x 3.0 m,,ruled,1,1,53.8,53.8,0.0
way/288600848,residential,apartments,136.9,,9.0,assumed 9.0 m,,massing_box,3,0,410.4,410.4,0.0
way/288600850,residential,apartments,206.8,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,620.4,620.4,0.0
way/288600852,residential,apartments,198.6,3.0,9.0,storeys x 3.0 m,,ruled,3,7,360.7,360.7,0.0
way/288600854,residential,apartments,315.3,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,946.1,946.1,0.0
way/288600859,residential,apartments,126.9,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,380.8,380.8,0.0
way/288600861,residential,apartments,881.1,,9.0,assumed 9.0 m,,massing_box,6,0,5286.8,5286.8,0.0
way/289362368,residential,apartments,68.9,,9.0,assumed 9.0 m,,ruled,3,3,206.8,206.8,0.0
way/289362370,residential,apartments,65.3,,9.0,assumed 9.0 m,,ruled,4,1,65.3,65.3,0.0
