building_id,eui_kwh_m2,geometry_outcome
way/288461992,149.6,geometry-limited massing box
way/288600850,94.66,geometry-limited massing box
way/288600852,104.21,dwelling layout (observed)
way/288600854,97.73,dwelling layout (observed)
way/288600859,116.08,dwelling layout (observed)
way/289364388,50.91,dwelling layout (observed)
way/289364389,91.5,dwelling layout (observed)
way/289387273,40.28,geometry-limited massing box
way/289387274,61.35,dwelling layout (observed)
way/289387276,274.09,dwelling layout (observed)
way/289387277,36.26,geometry-limited massing box
way/289387278,59.64,geometry-limited massing box
way/289387279,67.15,geometry-limited massing box
way/289387281,98.83,geometry-limited massing box
way/289434331,92.83,dwelling layout (observed)
way/289434333,65.25,dwelling layout (observed)
way/289434335,126.73,dwelling layout (observed)
way/289434336,123.73,dwelling layout (observed)
way/289434339,114.9,dwelling layout (observed)
way/289510893,40.51,geometry-limited massing box
way/289510894,306.17,dwelling layout (observed)
way/289510897,112.55,dwelling layout (observed)
way/289510900,77.54,geometry-limited massing box
way/289692616,359.63,dwelling layout (observed)
way/289692618,137.03,dwelling layout (observed)
way/289692619,266.07,dwelling layout (observed)
way/289692620,83.67,geometry-limited massing box
way/289692621,41.35,dwelling layout (observed)
way/289692622,282.84,dwelling layout (observed)
way/289692623,39.92,geometry-limited massing box
way/289692624,36.92,dwelling layout (observed)
way/289779214,81.66,dwelling layout (observed)
way/289779218,203.2,dwelling layout (observed)
way/289979822,43.14,dwelling layout (observed)
way/289979823,47.82,dwelling layout (observed)
way/289979825,59.52,dwelling layout (observed)
way/289979826,355.36,dwelling layout (observed)
way/289979828,63.18,dwelling layout (observed)
way/290026253,116.76,dwelling layout (observed)
way/290026256,36.01,geometry-limited massing box
way/290026258,217.2,dwelling layout (observed)
way/290653348,43.11,geometry-limited massing box
way/290653350,53.09,dwelling layout (observed)
way/290653352,37.33,dwelling layout (observed)
way/290662258,57.68,dwelling layout (observed)
way/290662259,90.14,dwelling layout (observed)
way/290663060,99.94,dwelling layout (observed)
way/290663061,40.31,geometry-limited massing box
way/290820839,47.92,dwelling layout (observed)
way/290820840,51.42,dwelling layout (observed)
way/290820842,72.18,dwelling layout (observed)
way/290820844,122.24,dwelling layout (observed)
way/290820846,118.63,dwelling layout (observed)
way/290820847,101.17,dwelling layout (observed)
way/290820849,35.82,dwelling layout (observed)
way/290820851,31.75,geometry-limited massing box
way/291149502,347.85,dwelling layout (observed)
way/291149503,33.29,geometry-limited massing box
way/291155593,35.82,geometry-limited massing box
way/291155594,43.77,dwelling layout (observed)
way/291155595,36.69,dwelling layout (observed)
way/291155596,42.46,dwelling layout (observed)
way/291278667,47.6,dwelling layout (observed)
way/291278668,48.56,dwelling layout (observed)
way/291278669,252.47,dwelling layout (observed)
way/291278670,206.66,dwelling layout (observed)
way/291278671,205.59,dwelling layout (observed)
way/291278672,33.22,dwelling layout (observed)
way/291278674,48.06,dwelling layout (observed)
way/291278675,95.56,dwelling layout (observed)
way/291892249,115.63,geometry-limited massing box
way/291892250,35.34,dwelling layout (observed)
way/291892251,49.35,dwelling layout (observed)
way/291892252,39.54,geometry-limited massing box
way/291892387,27.32,geometry-limited massing box
way/292149912,133.09,geometry-limited massing box
way/292149913,33.52,dwelling layout (observed)
way/292149914,74.21,dwelling layout (observed)
way/292149915,49.7,dwelling layout (observed)
way/293591506,57.89,dwelling layout (observed)
way/293591511,68.54,geometry-limited massing box
way/293596159,28.61,geometry-limited massing box
way/298875931,46.37,dwelling layout (observed)
way/310738147,74.1,geometry-limited massing box
way/310738149,74.07,geometry-limited massing box
way/310738150,78.43,geometry-limited massing box
way/310738151,74.02,geometry-limited massing box
way/310738152,69.39,geometry-limited massing box
way/310738153,70.27,geometry-limited massing box
way/310738154,69.57,geometry-limited massing box
way/310738155,80.66,geometry-limited massing box
way/310738157,103.35,dwelling layout (observed)
way/310738158,99.94,dwelling layout (observed)
way/310738159,110.16,dwelling layout (observed)
way/310738160,160.2,dwelling layout (observed)
way/310771769,60.88,geometry-limited massing box
way/310771771,84.68,dwelling layout (observed)
way/310771773,73.88,dwelling layout (observed)
way/310771776,423.99,dwelling layout (observed)
way/310771778,83.69,geometry-limited massing box
way/310771781,87.65,dwelling layout (observed)
way/310771784,141.12,geometry-limited massing box
way/310771790,81.79,geometry-limited massing box
way/310771792,79.91,geometry-limited massing box
way/310771803,100.48,geometry-limited massing box
way/310771805,78.47,geometry-limited massing box
way/310771813,87.98,dwelling layout (observed)
way/310771815,42.88,dwelling layout (observed)
way/310771818,62.01,dwelling layout (observed)
way/310771820,41.34,dwelling layout (observed)
way/310771821,232.12,dwelling layout (observed)
way/310774080,65.51,geometry-limited massing box
way/310775064,65.07,geometry-limited massing box
way/310775068,37.96,dwelling layout (observed)
way/310775071,77.46,dwelling layout (observed)
way/310775072,67.57,geometry-limited massing box
way/310775075,57.66,dwelling layout (observed)
way/310775076,74.27,dwelling layout (observed)
way/311159684,98.08,geometry-limited massing box
way/311159685,46.52,geometry-limited massing box
way/311159688,41.15,geometry-limited massing box
way/311159689,64.43,geometry-limited massing box
way/311159690,126.49,dwelling layout (observed)
way/311159691,81.64,dwelling layout (observed)
way/311159692,95.36,dwelling layout (observed)
way/311161162,32.92,geometry-limited massing box
way/311161163,113.61,geometry-limited massing box
way/311161164,34.65,dwelling layout (observed)
way/311161165,201.11,dwelling layout (observed)
way/311161166,68.97,dwelling layout (observed)
way/311162657,242.47,dwelling layout (observed)
way/311162658,70.5,dwelling layout (observed)
way/311162659,186.94,dwelling layout (observed)
way/311162660,55.0,dwelling layout (observed)
way/311162661,34.84,dwelling layout (observed)
way/311162662,54.91,dwelling layout (observed)
way/311162663,69.5,dwelling layout (observed)
way/311168052,124.37,dwelling layout (observed)
way/311431848,375.66,dwelling layout (observed)
way/311431849,483.23,dwelling layout (observed)
way/311431851,52.07,dwelling layout (observed)
way/311431852,76.57,dwelling layout (observed)
way/311431853,111.12,dwelling layout (observed)
way/311586300,98.23,dwelling layout (observed)
way/311595043,84.65,dwelling layout (observed)
way/311595045,85.04,geometry-limited massing box
way/311595048,75.0,geometry-limited massing box
way/311602374,54.95,geometry-limited massing box
way/311968161,85.03,geometry-limited massing box
way/311968162,118.67,geometry-limited massing box
way/311968163,74.99,geometry-limited massing box
way/322742247,85.29,dwelling layout (observed)
way/322742249,120.57,dwelling layout (observed)
way/322742251,71.08,geometry-limited massing box
way/322742254,342.65,dwelling layout (observed)
way/322742256,86.51,geometry-limited massing box
way/322742257,120.48,geometry-limited massing box
way/322742258,30.55,geometry-limited massing box
way/322742259,102.74,geometry-limited massing box
way/322742263,92.23,dwelling layout (observed)
way/322742264,128.82,dwelling layout (observed)
way/322742265,81.81,dwelling layout (observed)
way/333138109,182.07,dwelling layout (observed)
way/333138111,76.67,geometry-limited massing box
way/333138113,82.1,geometry-limited massing box
way/333138116,127.12,geometry-limited massing box
way/333138121,62.46,dwelling layout (observed)
way/333138124,77.65,dwelling layout (observed)
way/333138127,37.9,dwelling layout (observed)
way/333138128,72.8,dwelling layout (observed)
way/333138129,41.06,dwelling layout (observed)
way/333138130,56.04,geometry-limited massing box
way/333138131,50.82,dwelling layout (observed)
way/333138134,79.92,geometry-limited massing box
way/333138136,50.52,geometry-limited massing box
way/340701289,134.84,dwelling layout (observed)
way/380242656,69.66,dwelling layout (observed)
way/380242657,50.27,geometry-limited massing box
way/380242658,36.03,geometry-limited massing box
way/380242662,54.44,dwelling layout (observed)
way/380242663,408.46,dwelling layout (observed)
way/380242664,143.97,dwelling layout (observed)
way/380242665,106.26,dwelling layout (observed)
way/380242666,52.42,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/380242668,182.42,dwelling layout (observed)
way/380242669,62.53,geometry-limited massing box
way/380242671,45.96,dwelling layout (observed)
way/380242672,36.08,dwelling layout (observed)
way/388485179,234.77,dwelling layout (observed)
way/388485182,72.11,dwelling layout (observed)
way/388485183,108.59,dwelling layout (observed)
way/388485186,82.66,dwelling layout (observed)
way/388485189,113.3,dwelling layout (observed)
way/388485191,103.34,dwelling layout (observed)
way/388485193,150.19,dwelling layout (observed)
way/388485194,72.89,dwelling layout (observed)
way/388485196,67.86,dwelling layout (observed)
way/388485198,58.85,dwelling layout (observed)
way/388485200,76.82,dwelling layout (observed)
way/388485201,40.36,geometry-limited massing box
way/388485203,82.32,dwelling layout (observed)
way/388485205,148.31,dwelling layout (observed)
way/389587830,87.5,dwelling layout (observed)
way/389587831,292.07,dwelling layout (observed)
way/389587832,276.76,dwelling layout (observed)
way/389587833,177.85,dwelling layout (observed)
way/389587834,128.31,dwelling layout (observed)
way/389587835,193.75,dwelling layout (observed)
way/391270217,42.98,geometry-limited massing box
way/391270218,89.21,dwelling layout (observed)
way/391270219,60.0,geometry-limited massing box
way/391270220,59.25,geometry-limited massing box
way/391270221,37.97,geometry-limited massing box
way/391270222,62.37,geometry-limited massing box
way/391270224,58.6,geometry-limited massing box
way/391275429,85.23,dwelling layout (observed)
way/391275430,114.62,dwelling layout (observed)
way/391275431,43.19,dwelling layout (observed)
way/391275432,66.83,dwelling layout (observed)
way/391275433,81.06,dwelling layout (observed)
way/391275434,59.55,dwelling layout (observed)
way/391275435,105.84,dwelling layout (observed)
way/391276755,33.92,dwelling layout (observed)
way/391276756,98.79,dwelling layout (observed)
way/391276757,43.86,dwelling layout (observed)
way/391276758,33.33,geometry-limited massing box
way/391276759,47.64,dwelling layout (observed)
way/391276760,34.12,dwelling layout (observed)
way/391276761,84.48,dwelling layout (observed)
way/391276762,40.54,dwelling layout (observed)
way/391276763,38.06,dwelling layout (observed)
way/391276764,40.49,dwelling layout (observed)
way/391276765,131.82,dwelling layout (observed)
way/391276766,33.04,geometry-limited massing box
way/391276767,90.84,dwelling layout (observed)
way/391276768,93.97,dwelling layout (observed)
way/391279228,27.55,geometry-limited massing box
way/391279229,25.0,dwelling layout (observed)
way/391279232,208.25,dwelling layout (observed)
way/391279233,65.87,dwelling layout (observed)
way/391279234,380.97,dwelling layout (observed)
way/391279239,236.62,dwelling layout (observed)
way/391662735,64.54,dwelling layout (observed)
way/400445219,107.37,geometry-limited massing box
way/400445221,96.5,dwelling layout (observed)
way/400445225,38.74,dwelling layout (observed)
way/403642583,272.52,dwelling layout (observed)
way/403642584,168.84,geometry-limited massing box
way/403642585,39.08,geometry-limited massing box
way/403642591,110.8,dwelling layout (observed)
way/403642592,142.84,dwelling layout (observed)
way/403642593,39.96,dwelling layout (observed)
way/403642594,159.37,dwelling layout (observed)
way/403642597,40.72,dwelling layout (observed)
way/403855649,38.66,geometry-limited massing box
way/403855650,49.63,geometry-limited massing box
way/403855651,121.53,dwelling layout (observed)
way/403855653,36.71,dwelling layout (observed)
way/403855654,43.85,dwelling layout (observed)
way/403856092,40.2,dwelling layout (observed)
way/403856093,43.82,dwelling layout (observed)
way/403856094,46.28,dwelling layout (observed)
way/416627786,369.62,dwelling layout (observed)
way/420409335,39.7,geometry-limited massing box
way/420409339,108.13,dwelling layout (observed)
way/420409343,29.48,geometry-limited massing box
way/420409346,46.9,dwelling layout (observed)
way/420409347,162.73,geometry-limited massing box
way/420409350,126.54,dwelling layout (observed)
way/420409352,285.63,dwelling layout (observed)
way/420411245,194.85,dwelling layout (observed)
way/420411247,264.75,dwelling layout (observed)
way/420411248,230.03,dwelling layout (observed)
way/420411249,129.66,dwelling layout (observed)
way/420411321,102.08,geometry-limited massing box
way/420411322,40.25,dwelling layout (observed)
way/420411323,44.12,dwelling layout (observed)
way/420411324,150.46,dwelling layout (observed)
way/428475104,55.98,geometry-limited massing box
way/428475105,63.75,dwelling layout (observed)
way/428478237,39.35,geometry-limited massing box
way/428478238,36.7,geometry-limited massing box
way/428478241,263.03,dwelling layout (observed)
way/428478590,37.94,geometry-limited massing box
way/432405443,58.9,dwelling layout (observed)
way/432405444,83.74,dwelling layout (observed)
way/432405449,154.39,dwelling layout (observed)
way/432405451,43.3,geometry-limited massing box
way/432405458,148.26,dwelling layout (observed)
way/432405459,37.94,dwelling layout (observed)
way/432405737,33.53,geometry-limited massing box
way/432411451,80.29,geometry-limited massing box
way/432411455,42.72,dwelling layout (observed)
way/432411457,73.28,geometry-limited massing box
way/432411459,82.25,dwelling layout (observed)
way/432411462,64.06,dwelling layout (observed)
way/432411464,69.86,dwelling layout (observed)
way/432411472,120.36,geometry-limited massing box
way/432411814,41.69,dwelling layout (observed)
way/432411815,54.21,dwelling layout (observed)
way/432411816,134.73,dwelling layout (observed)
way/432411817,142.78,dwelling layout (observed)
way/432411820,34.43,geometry-limited massing box
way/432411821,44.64,dwelling layout (observed)
way/432411823,48.46,dwelling layout (observed)
way/432411824,171.93,dwelling layout (observed)
way/432411825,267.95,dwelling layout (observed)
way/432412733,50.8,geometry-limited massing box
way/432412734,59.06,dwelling layout (observed)
way/432412735,58.88,dwelling layout (observed)
way/432412736,34.31,geometry-limited massing box
way/432412737,38.83,dwelling layout (observed)
way/432412738,58.06,geometry-limited massing box
way/432566224,90.52,geometry-limited massing box
way/432566226,86.83,geometry-limited massing box
way/432566227,108.35,dwelling layout (observed)
way/432566510,121.01,geometry-limited massing box
way/432566513,86.42,geometry-limited massing box
way/432566514,103.97,dwelling layout (observed)
way/432566515,47.39,dwelling layout (observed)
way/432567161,106.24,dwelling layout (observed)
way/432567162,105.89,dwelling layout (observed)
way/432567163,131.87,dwelling layout (observed)
way/432567164,91.62,dwelling layout (observed)
way/432567165,84.13,geometry-limited massing box
way/432864101,85.56,dwelling layout (observed)
way/432864102,78.46,dwelling layout (observed)
way/432864103,60.34,dwelling layout (observed)
way/432864104,81.13,geometry-limited massing box
way/432864105,103.59,geometry-limited massing box
way/432864406,133.37,geometry-limited massing box
way/432864412,130.62,dwelling layout (observed)
way/432864413,143.88,dwelling layout (observed)
way/432864414,41.59,dwelling layout (observed)
way/432864416,115.15,dwelling layout (observed)
way/432864417,46.31,dwelling layout (observed)
way/432864418,251.8,dwelling layout (observed)
way/432864638,146.52,dwelling layout (observed)
way/432864641,102.94,geometry-limited massing box
way/432864978,109.71,geometry-limited massing box
way/432864979,103.35,dwelling layout (observed)
way/432864980,41.45,dwelling layout (observed)
way/432864981,64.1,geometry-limited massing box
way/432864982,89.52,geometry-limited massing box
way/432865814,42.18,geometry-limited massing box
way/432865817,52.77,dwelling layout (observed)
way/432865818,43.61,dwelling layout (observed)
way/432865819,158.86,dwelling layout (observed)
way/432865820,320.98,dwelling layout (observed)
way/432866211,50.91,dwelling layout (observed)
way/432866212,246.02,dwelling layout (observed)
way/432866213,152.87,dwelling layout (observed)
way/432867091,356.04,dwelling layout (observed)
way/432867093,104.09,geometry-limited massing box
way/432867095,40.81,geometry-limited massing box
way/432867096,37.87,geometry-limited massing box
way/433014080,46.82,dwelling layout (observed)
way/433014081,50.27,dwelling layout (observed)
way/433014082,41.93,dwelling layout (observed)
way/433014848,176.66,dwelling layout (observed)
way/433014850,60.2,dwelling layout (observed)
way/433014851,42.38,geometry-limited massing box
way/434023854,33.68,geometry-limited massing box
way/434023855,38.75,geometry-limited massing box
way/434023856,37.22,dwelling layout (observed)
way/434023857,51.34,dwelling layout (observed)
way/434023859,51.64,dwelling layout (observed)
way/434023861,40.59,geometry-limited massing box
way/434023862,41.29,dwelling layout (observed)
way/434023863,46.87,dwelling layout (observed)
way/434025429,33.16,geometry-limited massing box
way/434025431,42.18,geometry-limited massing box
way/434025437,35.35,dwelling layout (observed)
way/434026687,222.73,dwelling layout (observed)
way/434026690,74.49,dwelling layout (observed)
way/434026694,35.09,geometry-limited massing box
way/434026697,52.55,dwelling layout (observed)
way/434026700,161.24,dwelling layout (observed)
way/434049326,39.2,geometry-limited massing box
way/434049327,23.31,dwelling layout (observed)
way/434049328,50.42,dwelling layout (observed)
way/434049329,176.22,dwelling layout (observed)
way/434049330,259.64,dwelling layout (observed)
way/434049331,50.35,dwelling layout (observed)
way/434049332,126.37,dwelling layout (observed)
way/434049333,155.95,dwelling layout (observed)
way/434584670,96.7,geometry-limited massing box
way/434584672,482.68,dwelling layout (observed)
way/434584674,96.85,dwelling layout (observed)
way/434584676,39.99,geometry-limited massing box
way/434584678,174.88,dwelling layout (observed)
way/434868514,38.13,dwelling layout (observed)
way/434868515,140.67,dwelling layout (observed)
way/434868516,124.76,geometry-limited massing box
way/434868517,47.91,dwelling layout (observed)
way/434868518,61.71,dwelling layout (observed)
way/434869412,61.56,geometry-limited massing box
way/434869413,32.16,geometry-limited massing box
way/434869414,132.08,geometry-limited massing box
way/434869415,401.11,dwelling layout (observed)
way/434869416,50.04,dwelling layout (observed)
way/434877453,50.28,geometry-limited massing box
way/434877455,66.21,geometry-limited massing box
way/434877456,58.48,geometry-limited massing box
way/434877457,65.84,dwelling layout (observed)
way/434878262,85.7,dwelling layout (observed)
way/434878265,446.02,dwelling layout (observed)
way/434878266,102.44,dwelling layout (observed)
way/434878270,310.14,dwelling layout (observed)
way/434878272,288.43,dwelling layout (observed)
way/434878274,153.65,dwelling layout (observed)
way/434878276,270.84,dwelling layout (observed)
way/434878279,90.14,dwelling layout (observed)
way/434878281,66.86,dwelling layout (observed)
way/434878283,169.39,geometry-limited massing box
way/434878285,59.4,dwelling layout (observed)
way/434878287,66.23,geometry-limited massing box
way/434878289,69.84,geometry-limited massing box
way/434878292,80.78,dwelling layout (observed)
way/434878294,260.68,dwelling layout (observed)
way/434878296,94.5,dwelling layout (observed)
way/434878298,38.0,dwelling layout (observed)
way/434878300,78.09,geometry-limited massing box
way/434878302,130.53,dwelling layout (observed)
way/434899825,53.06,dwelling layout (observed)
way/434899826,53.7,dwelling layout (observed)
way/434899827,111.85,dwelling layout (observed)
way/434899828,247.16,dwelling layout (observed)
way/434899833,102.26,dwelling layout (observed)
way/434899835,111.47,geometry-limited massing box
way/434899836,42.73,geometry-limited massing box
way/434899837,56.49,dwelling layout (observed)
way/434899838,52.54,geometry-limited massing box
way/434899840,39.47,dwelling layout (observed)
way/434900093,75.59,geometry-limited massing box
way/434900094,112.94,dwelling layout (observed)
way/434900095,52.92,dwelling layout (observed)
way/434900098,95.03,geometry-limited massing box
way/434900099,49.27,dwelling layout (observed)
way/434900101,39.55,geometry-limited massing box
way/434900117,149.18,dwelling layout (observed)
way/434900119,128.68,dwelling layout (observed)
way/435212309,30.81,geometry-limited massing box
way/435212310,123.55,geometry-limited massing box
way/435212311,39.42,geometry-limited massing box
way/435212312,93.26,dwelling layout (observed)
way/435212313,82.35,dwelling layout (observed)
way/435212314,52.56,dwelling layout (observed)
way/435212315,140.03,dwelling layout (observed)
way/435212316,49.77,dwelling layout (observed)
way/435212318,49.69,dwelling layout (observed)
way/435212748,40.9,geometry-limited massing box
way/435212752,96.54,dwelling layout (observed)
way/435212753,76.55,dwelling layout (observed)
way/435212755,30.49,geometry-limited massing box
way/435212756,42.28,dwelling layout (observed)
way/435212757,80.66,dwelling layout (observed)
way/435397042,94.02,dwelling layout (observed)
way/435397043,87.12,dwelling layout (observed)
way/435397045,47.03,dwelling layout (observed)
way/435397047,130.3,geometry-limited massing box
way/435397049,160.38,geometry-limited massing box
way/435397050,65.93,geometry-limited massing box
way/435397051,92.25,dwelling layout (observed)
way/435398509,99.95,dwelling layout (observed)
way/435398510,168.42,dwelling layout (observed)
way/435398511,57.85,dwelling layout (observed)
way/435398513,118.36,dwelling layout (observed)
way/435398515,120.59,geometry-limited massing box
way/435399153,29.06,geometry-limited massing box
way/435399154,46.86,dwelling layout (observed)
way/435399155,134.58,dwelling layout (observed)
way/435399156,91.52,dwelling layout (observed)
way/435399157,49.51,dwelling layout (observed)
way/435449425,359.67,dwelling layout (observed)
way/435449426,78.06,geometry-limited massing box
way/435449427,244.03,dwelling layout (observed)
way/435449428,311.9,dwelling layout (observed)
way/435449429,96.7,geometry-limited massing box
way/435449430,167.2,dwelling layout (observed)
way/435449431,41.76,dwelling layout (observed)
way/435449432,114.23,dwelling layout (observed)
way/435449433,28.62,dwelling layout (observed)
way/435449434,80.36,dwelling layout (observed)
way/435449435,54.38,dwelling layout (observed)
way/435449436,31.64,geometry-limited massing box
way/435449437,85.81,geometry-limited massing box
way/435449438,94.16,dwelling layout (observed)
way/435449439,85.81,dwelling layout (observed)
way/435449443,34.79,dwelling layout (observed)
way/435449444,38.63,dwelling layout (observed)
way/435449445,46.27,dwelling layout (observed)
way/435449619,90.85,geometry-limited massing box
way/435449622,32.18,geometry-limited massing box
way/435449623,100.57,geometry-limited massing box
way/435449627,48.11,dwelling layout (observed)
way/435505189,126.33,dwelling layout (observed)
way/435505191,130.5,dwelling layout (observed)
way/435505192,88.32,dwelling layout (observed)
way/435505193,65.94,geometry-limited massing box
way/435505194,92.71,dwelling layout (observed)
way/435505196,64.73,dwelling layout (observed)
way/435508451,42.66,dwelling layout (observed)
way/435508452,133.12,dwelling layout (observed)
way/435508453,92.59,dwelling layout (observed)
way/435508454,38.72,dwelling layout (observed)
way/435508457,140.95,dwelling layout (observed)
way/435508459,105.56,dwelling layout (observed)
way/435508460,86.43,dwelling layout (observed)
way/435508462,98.99,dwelling layout (observed)
way/435509259,104.04,geometry-limited massing box
way/435509261,128.31,dwelling layout (observed)
way/435509266,43.48,dwelling layout (observed)
way/435509267,29.29,dwelling layout (observed)
way/435509269,108.85,dwelling layout (observed)
way/435510855,78.78,geometry-limited massing box
way/435510856,78.22,geometry-limited massing box
way/435510857,77.79,geometry-limited massing box
way/435510858,76.29,geometry-limited massing box
way/435510859,80.28,geometry-limited massing box
way/435510860,81.81,geometry-limited massing box
way/435510861,80.79,geometry-limited massing box
way/435510862,85.94,geometry-limited massing box
way/435510863,89.69,geometry-limited massing box
way/435510864,89.46,geometry-limited massing box
way/435510865,72.06,geometry-limited massing box
way/435510866,63.38,geometry-limited massing box
way/435510867,34.23,geometry-limited massing box
way/435510868,288.75,dwelling layout (observed)
way/435510994,328.92,dwelling layout (observed)
way/435510995,81.58,dwelling layout (observed)
way/435510996,108.0,dwelling layout (observed)
way/435511300,29.79,geometry-limited massing box
way/435511301,84.47,dwelling layout (observed)
way/435511304,33.01,dwelling layout (observed)
way/435511305,89.65,dwelling layout (observed)
way/435633561,37.39,geometry-limited massing box
way/435633562,68.15,geometry-limited massing box
way/435633566,30.06,geometry-limited massing box
way/435633568,24.74,geometry-limited massing box
way/435633858,37.64,dwelling layout (observed)
way/435633860,64.75,dwelling layout (observed)
way/435637297,36.76,dwelling layout (observed)
way/435637777,37.97,dwelling layout (observed)
way/435637779,36.57,geometry-limited massing box
way/435637781,30.47,geometry-limited massing box
way/435637782,47.13,geometry-limited massing box
way/435637786,45.43,dwelling layout (observed)
way/435637791,32.89,dwelling layout (observed)
way/435637793,154.59,geometry-limited massing box
way/435637794,30.87,geometry-limited massing box
way/435638254,77.96,geometry-limited massing box
way/435638255,33.81,geometry-limited massing box
way/435638256,125.26,dwelling layout (observed)
way/435638257,96.68,dwelling layout (observed)
way/435638258,41.16,dwelling layout (observed)
way/435638259,34.95,geometry-limited massing box
way/435638260,46.59,dwelling layout (observed)
way/435638261,195.07,dwelling layout (observed)
way/435638262,240.76,dwelling layout (observed)
way/435638263,39.38,dwelling layout (observed)
way/435638396,99.79,dwelling layout (observed)
way/435638398,41.98,dwelling layout (observed)
way/435638858,36.45,geometry-limited massing box
way/435638860,59.67,dwelling layout (observed)
way/435638862,42.59,dwelling layout (observed)
way/435638864,47.53,dwelling layout (observed)
way/435638870,37.62,geometry-limited massing box
way/435639062,88.02,dwelling layout (observed)
way/435639063,82.14,geometry-limited massing box
way/435639065,78.84,geometry-limited massing box
way/435639066,40.63,geometry-limited massing box
way/435639071,52.5,dwelling layout (observed)
way/435639073,59.14,dwelling layout (observed)
way/435639077,80.25,geometry-limited massing box
way/435639200,76.1,geometry-limited massing box
way/435639201,85.93,dwelling layout (observed)
way/435639202,42.46,geometry-limited massing box
way/435639204,100.43,dwelling layout (observed)
way/435639205,182.82,dwelling layout (observed)
way/435639206,79.39,geometry-limited massing box
way/435639207,120.55,dwelling layout (observed)
way/435639208,76.94,geometry-limited massing box
way/435822216,34.56,geometry-limited massing box
way/435822217,58.5,geometry-limited massing box
way/435822218,48.37,dwelling layout (observed)
way/435822219,118.67,dwelling layout (observed)
way/435822220,138.51,dwelling layout (observed)
way/435822222,116.87,dwelling layout (observed)
way/435822224,322.31,dwelling layout (observed)
way/435822225,199.69,dwelling layout (observed)
way/435822228,93.61,dwelling layout (observed)
way/435822229,43.22,dwelling layout (observed)
way/435822364,32.2,dwelling layout (observed)
way/435822365,50.13,dwelling layout (observed)
